Genus,Family,Useful Life Expectency Value,Year Planted,Located in,count
Acacia,Fabaceae,1,1900,Park,1
Acacia,Fabaceae,1,1999,Park,7
Acacia,Fabaceae,1,2006,Park,1
Acacia,Fabaceae,10,1900,Park,3
Acacia,Fabaceae,10,1900,Street,1
Acacia,Fabaceae,10,1997,Park,1
Acacia,Fabaceae,10,1999,Park,21
Acacia,Fabaceae,10,2006,Park,1
Acacia,Fabaceae,10,2008,Park,1
Acacia,Fabaceae,10,2010,Park,1
Acacia,Fabaceae,20,1900,Park,7
Acacia,Fabaceae,20,1900,Street,1
Acacia,Fabaceae,20,1999,Park,35
Acacia,Fabaceae,20,2006,Park,3
Acacia,Fabaceae,20,2008,Park,4
Acacia,Fabaceae,20,2010,Park,10
Acacia,Fabaceae,30,1900,Park,6
Acacia,Fabaceae,30,1900,Street,3
Acacia,Fabaceae,30,1999,Park,30
Acacia,Fabaceae,30,2000,Park,2
Acacia,Fabaceae,30,2006,Park,4
Acacia,Fabaceae,30,2007,Park,1
Acacia,Fabaceae,30,2008,Park,12
Acacia,Fabaceae,30,2010,Park,21
Acacia,Fabaceae,30,2010,Street,1
Acacia,Fabaceae,5,1900,Park,2
Acacia,Fabaceae,5,1999,Park,9
Acacia,Fabaceae,5,2010,Park,3
Acacia,Fabaceae,60,1900,Park,4
Acacia,Fabaceae,60,1999,Park,29
Acacia,Fabaceae,60,2006,Park,1
Acacia,Fabaceae,60,2009,Park,1
Acacia,Fabaceae,60,2010,Park,4
Acacia,Fabaceae,80,1999,Park,10
Acacia,Fabaceae,80,2008,Street,1
Acacia,Fabaceae,80,2010,Park,3
Acacia,Fabaceae,80,2010,Street,1
Acer,Sapindaceae,1,1900,Park,1
Acer,Sapindaceae,1,2006,Park,2
Acer,Sapindaceae,1,2006,Street,1
Acer,Sapindaceae,1,2008,Street,1
Acer,Sapindaceae,10,1900,Park,6
Acer,Sapindaceae,10,1900,Street,1
Acer,Sapindaceae,10,1998,Park,2
Acer,Sapindaceae,10,2005,Street,2
Acer,Sapindaceae,10,2006,Park,4
Acer,Sapindaceae,10,2006,Street,4
Acer,Sapindaceae,10,2008,Street,5
Acer,Sapindaceae,10,2009,Street,5
Acer,Sapindaceae,10,2010,Street,4
Acer,Sapindaceae,20,1900,Park,5
Acer,Sapindaceae,20,1900,Street,3
Acer,Sapindaceae,20,1998,Park,2
Acer,Sapindaceae,20,2006,Park,4
Acer,Sapindaceae,20,2006,Street,2
Acer,Sapindaceae,20,2008,Street,2
Acer,Sapindaceae,20,2009,Street,5
Acer,Sapindaceae,20,2010,Street,2
Acer,Sapindaceae,30,1900,Park,1
Acer,Sapindaceae,30,1900,Street,6
Acer,Sapindaceae,30,1998,Park,5
Acer,Sapindaceae,30,2006,Park,2
Acer,Sapindaceae,30,2008,Park,2
Acer,Sapindaceae,30,2009,Street,1
Acer,Sapindaceae,30,2010,Street,1
Acer,Sapindaceae,5,1900,Park,2
Acer,Sapindaceae,5,1998,Park,2
Acer,Sapindaceae,5,2005,Street,1
Acer,Sapindaceae,5,2006,Park,2
Acer,Sapindaceae,5,2006,Street,2
Acer,Sapindaceae,5,2007,Street,1
Acer,Sapindaceae,5,2008,Street,7
Acer,Sapindaceae,5,2009,Street,7
Acer,Sapindaceae,5,2010,Street,5
Acer,Sapindaceae,60,1900,Park,5
Acer,Sapindaceae,60,1900,Street,2
Acer,Sapindaceae,60,1998,Park,1
Acer,Sapindaceae,60,2005,Street,32
Acer,Sapindaceae,60,2006,Park,1
Acer,Sapindaceae,60,2006,Street,81
Acer,Sapindaceae,60,2007,Street,3
Acer,Sapindaceae,60,2008,Park,3
Acer,Sapindaceae,60,2008,Street,24
Acer,Sapindaceae,60,2009,Park,3
Acer,Sapindaceae,60,2009,Street,73
Acer,Sapindaceae,60,2010,Street,87
Acer,Sapindaceae,80,2009,Park,2
Acer,Sapindaceae,80,2010,Street,1
Aesculus,Sapindaceae,10,1998,Park,7
Aesculus,Sapindaceae,10,2000,Park,1
Aesculus,Sapindaceae,20,1998,Park,6
Aesculus,Sapindaceae,20,2000,Park,1
Aesculus,Sapindaceae,60,1998,Park,1
Afrocarpus,Podocarpaceae,30,1900,Park,1
Afrocarpus,Podocarpaceae,60,1900,Park,2
Afrocarpus,Podocarpaceae,60,2006,Park,2
Afrocarpus,Podocarpaceae,80,1900,Park,2
Afrocarpus,Podocarpaceae,80,2006,Park,1
Agathis,Araucariaceae,10,2008,Park,1
Agathis,Araucariaceae,30,1998,Park,3
Agathis,Araucariaceae,30,1998,Street,1
Agathis,Araucariaceae,30,2009,Park,3
Agathis,Araucariaceae,5,2008,Park,1
Agathis,Araucariaceae,60,1900,Park,3
Agathis,Araucariaceae,60,1998,Park,9
Agathis,Araucariaceae,60,2000,Park,1
Agathis,Araucariaceae,60,2009,Street,1
Agathis,Araucariaceae,60,2010,Street,2
Agathis,Araucariaceae,80,1900,Park,10
